company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,name,rank,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political,wealth.type,wealth.worth in billions,year
1931,"Spear, Leeds & Kellogg",relation,investment banking,new,58,male,United States,USA,10600000000000.0,North America,Peter Kellogg,234,Financial,True,Money Management,father,True,True,inherited,2.0,2001
1979,EMC Corporation,founder,data storage,new,65,male,United States,USA,10600000000000.0,North America,Richard Egan,234,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,2.0,2001
1971,Cheung king,relation,real estate,new,34,male,Hong Kong,HKG,169000000000.0,East Asia,Richard Li,234,Non-Traded Sectors,True,Media,father,True,True,inherited,2.0,2001
1912,,relation,movie theatres,new,79,male,United States,USA,10600000000000.0,North America,Robert Naify,234,0,True,0,father,True,True,inherited,2.0,2001
1985,Gateway,founder,computers,new,38,male,United States,USA,10600000000000.0,North America,Theodore Waitt,234,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,2.0,2001
1988,Fuwah International Group,founder,real estate,new,73,female,China,CHN,0.0,East Asia,Chan Laiwa,234,Financial,True,Real Estate,not inherited,True,True,self-made finance,6.0,2014
1997,Estat Digiphone (O2),founder,telecommunications,new,55,male,Ireland,IRL,0.0,Europe,Denis O'Brien,234,Non-Traded Sectors,True,Media,not inherited,True,True,privatized and resources,6.0,2014
1999,Rosuglesbyt,founder,coal,new,50,male,Russia,RUS,0.0,Europe,Filaret Galchev,234,Non-Traded Sectors,True,Constrution,not inherited,True,True,founder non-finance,6.0,2014
1975,Renco,founder,investment,new,79,male,United States,USA,0.0,North America,Ira Rennert,234,Financial,True,Diversified financial,not inherited,True,True,self-made finance,6.0,2014
1882,J.D. Irving,relation,timber,new,85,male,Canada,CAN,0.0,North America,James Irving,234,Financial,True,Diversified financial,3rd generation,True,True,inherited,6.0,2014
1913,Prada,relation,luxury goods,new,68,male,Italy,ITA,0.0,Europe,Patrizio Bertelli,234,Traded Sectors,True,Consumer,father,True,True,inherited,6.0,2014
1933,Boon Rawd Brewery,relation,beer,new,0,male,Thailand,THA,182000000000.0,East Asia,Piya Bhirombhakdi,235,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,1.7,1996
1989,Total Access Communications,chairman,telecomm,new,0,male,Thailand,THA,182000000000.0,East Asia,Boonchai Bencharongkul,236,Non-Traded Sectors,True,Media,not inherited,True,True,executive,1.7,1996
1904,Getty ,relation,oil,new,45,male,United States,USA,8100000000000.0,North America,Gordon Getty,237,Resource Related,True,Energy,father,True,True,inherited,1.7,1996
1985,Gateway,founder,computers,new,33,male,United States,USA,8100000000000.0,North America,Theodore Waitt,238,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,1.7,1996
1938,Helmsley hotels,founder,real estate,aquired,0,male,United States,USA,8100000000000.0,North America,Harry Brakemann Helmsley,239,Financial,True,Real Estate,not inherited,True,True,self-made finance,1.7,1996
1940,McDonald's,relation,restaurants,new,0,female,United States,USA,8100000000000.0,North America,Joan Kroc,240,Non-Traded Sectors,True,"Retail, Restaurant",spouse/widow,True,True,inherited,1.7,1996
1971,Charles Schwab Corporation,founder,brokerage/banking,new,76,male,United States,USA,0.0,North America,Charles Schwab,240,Financial,True,Money Management,not inherited,True,True,self-made finance,5.8,2014
1964,Washington Companies,founder,construction,new,79,male,United States,USA,0.0,North America,Dennis Washington,240,Non-Traded Sectors,True,Constrution,not inherited,True,True,founder non-finance,5.8,2014
1963,Cook Group,founder,medical technology,new,80,female,United States,USA,0.0,North America,Gayle Cook,240,New Sectors,True,Technology-Medical,not inherited,True,True,founder non-finance,5.8,2014
1990,Apollo Global management,founder,private equity,new,62,male,United States,USA,0.0,North America,Leon Black,240,Financial,True,Private equity/leveraged buyout,not inherited,True,True,self-made finance,5.8,2014
1972,Carnival Corporation,relation,cruises,new,46,male,United States,USA,8100000000000.0,North America,Micky Arison,241,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,1.7,1996
1971,"Grupo Aval Acciones y Valores, SA",founder,banking,aquired,63,male,Colombia,COL,97200000000.0,Latin America,Luis Carlos Sarmiento Angulo,242,Financial,True,Money Management,not inherited,True,True,self-made finance,1.6,1996
1961,Promodes,relation,retail,new,0,male,France,FRA,1610000000000.0,Europe,Paul-Louis Halley,243,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,executive,1.6,1996
1822,Rochling Group,,coal,new,0,,Germany,DEU,2500000000000.0,Europe,Rochling family,244,Traded Sectors,True,Non-consumer industrial,3rd generation,True,True,inherited,1.6,1996
1997,Evergrande Group,chairman,real estate,new,55,male,China,CHN,0.0,East Asia,Hui Ka Yan,244,Financial,True,Real Estate,not inherited,True,True,self-made finance,5.7,2014
1988,Shimao Property,founder,real estate,new,63,male,Hong Kong,HKG,0.0,East Asia,Hui Wing Mau,244,Financial,True,Real Estate,not inherited,True,True,self-made finance,5.7,2014
1950,Zodiac Maritime Agencies,relation,shipping,new,58,male,Israel,ISR,0.0,Middle East/North Africa,Idan Ofer,244,Resource Related,True,Energy,father,True,True,inherited,5.7,2014
1973,Mango,founder,fashion,new,60,male,Spain,ESP,0.0,Europe,Isak Andic,244,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,5.7,2014
1951,Tetra Pak,relation,food packaging,new,54,male,Sweden,SWE,0.0,Europe,Jorn Rausing,244,0,True,Other,3rd generation,True,True,inherited,5.7,2014
1963,Limited Brands,founder,clothing,new,76,male,United States,USA,0.0,North America,Leslie Wexner,244,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,5.7,2014
1964,International Data Goup,founder,technology publishing,new,76,male,United States,USA,0.0,North America,Patrick McGovern,244,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,5.7,2014
1980,Bharti Enterprises,founder,telecommunications,new,56,male,India,IND,0.0,South Asia,Sunil Mittal,244,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,5.7,2014
1972,SAP AG,founder,software,new,55,male,Germany,DEU,2500000000000.0,Europe,Klaus Tschira,245,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,1.6,1996
1963,Great Eagle Holdings,founder,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,Lo Ying Shek,246,Financial,True,Real Estate,not inherited,True,True,self-made finance,1.6,1996
1951,Djarum,relation,tobacco,new,55,male,Indonesia,IDN,227000000000.0,East Asia,R Budi Hartono,247,Financial,True,Money Management,not inherited,True,True,self-made finance,1.6,1996
1946,Heiwa,founder,pachinko,new,0,male,Japan,JPN,4710000000000.0,East Asia,Kenkichi Nakajima,248,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,1.6,1996
1950,Sankyo,founder,pachinko gaming machines,new,-42,male,Japan,JPN,4710000000000.0,East Asia,Kunio Busujima,249,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,1.6,1996
1940,Rembrandt Group,relation,tobacco/luxury brands,new,0,male,South Africa,ZAF,148000000000.0,Sub-Saharan Africa,Anton Rupert,250,Traded Sectors,True,Consumer,father,True,True,inherited,1.6,1996
1677,Grosvenor Group,relation,real estate,new,44,male,United Kingdom,GBR,1310000000000.0,Europe,Gerald Cavendish Grosvenor,251,Financial,True,Real Estate,5th generation or longer,True,True,inherited,1.6,1996
1960,Al-Ghurair Group,relation,industrial goods,new,47,male,United Arab Emirates,ARE,103000000000.0,Middle East/North Africa,Abdul Aziz Al Ghurair,251,Financial,True,Money Management,father,True,True,inherited,1.9,2001
1921,Otsuka Holdings,relation,pharmaceuticals,new,0,male,Japan,JPN,4160000000000.0,East Asia,Akihiko Otsuka,251,New Sectors,True,Technology-Medical,father,True,True,inherited,1.9,2001
1960,Penoles,relation,mining,privatization,68,male,Mexico,MEX,725000000000.0,Latin America,Alberto Bailleres Gonzalez,251,Resource Related,True,Mining and metals,father,True,True,inherited,1.9,2001
1979,Home Depot,founder,retail,new,58,male,United States,USA,10600000000000.0,North America,Arthur Blank,251,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,1.9,2001
1975,Taylor Corporation,founder,printing and electronics,aquired,59,male,United States,USA,10600000000000.0,North America,Glen Taylor,251,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,1.9,2001
1961,Jim Pattison Group,founder CEO owner,autos,new,72,male,Canada,CAN,733000000000.0,North America,Jim Pattison,251,Financial,True,Money Management,not inherited,True,True,self-made finance,1.9,2001
1985,Matalan,founder,retail,new,57,male,United Kingdom,GBR,1530000000000.0,Europe,John Hargreaves,251,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,1.9,2001
0,,,media,,0,male,Germany,DEU,1950000000000.0,Europe,John Jahr,251,Non-Traded Sectors,True,Media,not inherited,True,True,inherited,1.9,2001
1953,National Comercial bank of Saudi Arabia,relation,banking,new,54,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,Khalid Bin Mahfouz,251,Financial,True,Money Management,father,True,True,inherited,1.9,2001
1949,Lego,relation,toys,new,53,male,Denmark,DNK,165000000000.0,Europe,Kjeld Kirk Kristiansen,251,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,1.9,2001
1938,Helmsley hotels,investor ,real estate,aquired,81,female,United States,USA,10600000000000.0,North America,Leona Helmsley,251,Financial,True,Real Estate,not inherited,True,True,self-made finance,1.9,2001
1972,Clear Channel Communications,founder,media,new,0,male,United States,USA,10600000000000.0,North America,Lowry Mays,251,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,1.9,2001
1947,Sony,relation,electronics,new,0,male,Japan,JPN,4160000000000.0,East Asia,Masao Morita,251,Non-Traded Sectors,True,Media,father,True,True,inherited,1.9,2001
1984,CDW Corporation,founder,retail,new,47,male,United States,USA,10600000000000.0,North America,Michael Krasny,251,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,1.9,2001
1884,Bulgari,relation,luxury goods,new,0,male,Italy,ITA,1160000000000.0,Europe,Paolo Bulgari,251,Traded Sectors,True,Consumer,5th generation or longer,True,True,inherited,1.9,2001
1986,ENSCO International,founder,hedge funds,new,56,male,United States,USA,10600000000000.0,North America,Richard Rainwater,251,Financial,True,Real Estate,not inherited,True,True,self-made finance,1.9,2001
1969,The Gap,relation,clothing ,new,47,male,United States,USA,10600000000000.0,North America,Robert Fisher,251,Traded Sectors,True,Consumer,father,True,True,inherited,1.9,2001
1968,Equity Group Investments,founder,real estate,new,59,male,United States,USA,10600000000000.0,North America,Sam Zell,251,Financial,True,Real Estate,not inherited,True,True,self-made finance,1.9,2001
1954,Schorghuber Group,relation,real estate,new,0,male,Germany,DEU,1950000000000.0,Europe,Stefan Schoerghuber,251,Financial,True,Real Estate,father,True,True,inherited,1.9,2001
1972,Mitel,founder,technology consulting,new,0,male,Canada,CAN,733000000000.0,North America,Terence Matthews,251,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,1.9,2001
1976,Pasona Inc,founder,staffing services,new,0,male,Japan,JPN,4160000000000.0,East Asia,Yasuyuki Nambu,251,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,1.9,2001
1898,Bechtel Corporation,relation and chairman,construction,new,43,male,United States,USA,8100000000000.0,North America,Riley Bechtel,252,Non-Traded Sectors,True,Constrution,4th generation,True,True,inherited,1.6,1996
1979,Boston Scientific,founder,medical devices,new,55,male,United States,USA,8100000000000.0,North America,Peter Nicholas,253,New Sectors,True,Technology-Medical,not inherited,True,True,founder non-finance,1.6,1996
1934,Hunt Oil. Co,relation,oil,new,71,male,United States,USA,0.0,North America,Ray Lee Hunt,253,Resource Related,True,Energy,father,True,True,inherited,5.6,2014
1991,Kroenke Sports Enterprises,founder,real estate/sports teams,new,66,male,United States,USA,0.0,North America,Stanley Kroenke,253,0,True,Other,not inherited,True,True,founder non-finance,5.6,2014
1966,Public Bank,founder,banking,new,83,male,Malaysia,MYS,0.0,East Asia,Teh Hong Piow,253,Financial,True,Money Management,not inherited,True,True,self-made finance,5.6,2014
1898,Bechtel Corporation,relation,construction,new,70,male,United States,USA,8100000000000.0,North America,Stephen Bechtel,254,Non-Traded Sectors,True,Constrution,4th generation,True,True,inherited,1.6,1996
1810,Peugeot,,cars,new,0,,France,FRA,1610000000000.0,Europe,Peugeot family,255,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,1.5,1996
1902,Diehl Stiftung,relation,armaments,new,0,male,Germany,DEU,2500000000000.0,Europe,Karl Diehl,256,Traded Sectors,True,Non-consumer industrial,father,True,True,inherited,1.5,1996
1924,Irving Oil,relation,oil,new,84,male,Canada,CAN,0.0,North America,Arthur Irving,256,Resource Related,True,Energy,father,True,True,inherited,5.5,2014
1800,Schroders,relation,banking,new,81,male,United Kingdom,GBR,0.0,Europe,Bruno Schroder,256,Financial,True,Money Management,4th generation,True,True,inherited,5.5,2014
1948,Bridas Energy,relation,oil,new,0,male,Argentina,ARG,0.0,Latin America,Carlos and Alejandro Bulgheroni,256,Resource Related,True,Energy,father,True,True,inherited,5.5,2014
1989,Hilcorp Energy Company,founder,oil,new,54,male,United States,USA,0.0,North America,Jeffery Hildebrand,256,Resource Related,True,Energy,not inherited,True,True,privatized and resources,5.5,2014
1982,East Hope Group,founder,agribusiness,new,65,male,China,CHN,0.0,East Asia,Liu Yongxing,256,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,5.5,2014
1982,Sports Direct,founder,sporting goods,new,49,male,United Kingdom,GBR,0.0,Europe,Michael Ashley,256,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,5.5,2014
1912,Holcim,relation,cement,new,68,male,Switzerland,CHE,0.0,Europe,Thomas Schmidheiny,256,Non-Traded Sectors,True,Constrution,4th generation,True,True,inherited,5.5,2014
0,,,,,0,,Germany,DEU,2500000000000.0,Europe,Simon family,257,Traded Sectors,True,Consumer,not inherited,True,True,,1.5,1996
1615,von Thurn and Taxis family,relation,"postal service, beverages",new,12,male,Germany,DEU,2500000000000.0,Europe,Albert von Thurn und Taxis,258,Financial,True,Money Management,5th generation or longer,True,True,inherited,1.5,1996
0,,,media,,0,male,Germany,DEU,2500000000000.0,Europe,John Jahr,259,Non-Traded Sectors,True,Media,not inherited,True,True,inherited,1.5,1996
1849,Freudenberg Group,,cleaning supplies,new,0,,Germany,DEU,2500000000000.0,Europe,Freudenberg family,260,Traded Sectors,True,Consumer,4th generation,True,True,inherited,1.5,1996
1989,ArcelorMittal,founder,steel,new,45,male,India,IND,400000000000.0,South Asia,Lakshmi Mittal,261,Resource Related,True,Energy,father,True,True,inherited,1.5,1996
1978,SFCG,president,banking,new,48,male,Japan,JPN,4710000000000.0,East Asia,Kenshin Oshima,262,Financial,True,Money Management,not inherited,True,True,self-made finance,1.5,1996
1941,Hilti,founder,tools,new,0,male,Liechtenstein,LIE,2504012993.0,Europe,Martin Hilti,263,Non-Traded Sectors,True,Constrution,not inherited,True,True,founder non-finance,1.5,1996
1987,Melker Schorling AB (MSAB),founder,investment,new,66,male,Sweden,SWE,0.0,Europe,Melker Schorling,263,Financial,True,Diversified financial,not inherited,True,True,self-made finance,5.4,2014
1996,MDM Bank,founder/vice chairman,banking,new,42,male,Russia,RUS,0.0,Europe,Sergei Popov,263,Financial,True,Money Management,not inherited,True,True,self-made finance,5.4,2014
1972,The Related Companies,founder,real estate,new,73,male,United States,USA,0.0,North America,Stephen Ross,263,Financial,True,Real Estate,not inherited,True,True,self-made finance,5.4,2014
1974,Foxconn,founder,technology,new,63,male,Taiwan,Taiwan,0.0,East Asia,Terry Gou,263,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,5.4,2014
1955,YTL Corporation,founder,"construction, utilities",new,0,male,Malaysia,MYS,101000000000.0,East Asia,Yeoh Tiong Lay,264,0,True,0,not inherited,True,True,founder non-finance,1.5,1996
1984,Usaha Tegas Sdn Bhd,founder,real estate,new,57,male,Malaysia,MYS,101000000000.0,East Asia,Ananda Krishnan,265,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,1.5,1996
1890,Grupo ALFA,relation,aluminum,new,0,male,Mexico,MEX,397000000000.0,Latin America,Bernardo Garza Sada,266,Financial,True,Diversified financial,3rd generation,True,True,inherited,1.5,1996
1946,Juffali Group,,electricity,new,0,,Saudi Arabia,SAU,158000000000.0,Middle East/North Africa,Juffali family,267,Financial,True,Diversified financial,not inherited,True,True,inherited,1.5,1996
1870,Corticeira Amorim,relation,cork,new,79,male,Portugal,PRT,0.0,Europe,Americo Amorim,267,Resource Related,True,Energy,3rd generation,True,True,inherited,5.3,2014
1975,Bestseller,relation,fashion,new,41,male,Denmark,DEN,0.0,Europe,Anders Holch Povlsen,267,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,5.3,2014
1952,ISCAR,founder,industrial tools,new,87,male,Israel,ISR,0.0,Middle East/North Africa,Stef Wertheimer,267,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,5.3,2014
1949,Liebherr,relation,construction,new,0,married couple,Switzerland,CHE,330000000000.0,Europe,Willi and Isolde Liebherr,268,Non-Traded Sectors,True,Constrution,not inherited,True,True,inherited,1.5,1996
1985,BZ Bank,founder,banking,new,0,male,Switzerland,CHE,330000000000.0,Europe,Martin Ebner,269,Financial,True,Money Management,not inherited,True,True,self-made finance,1.5,1996
1928,Globus,relation,travel company,new,68,male,Switzerland,CHE,330000000000.0,Europe,Sergio Mantegazza,270,0,True,Other,father,True,True,inherited,1.5,1996
2003,Fortescue Metals Group,Chairman,iron ore,new,52,male,Australia,AUS,0.0,North America,Andrew Forrest,270,Resource Related,True,Mining and metals,not inherited,True,True,privatized and resources,5.2,2014
1990,Rossiysky Kredit,founder,metals/banking,new,58,male,Georgia,GEO,0.0,Europe,Bidzina Ivanishvili,270,Financial,True,Diversified financial,not inherited,True,True,privatized and resources,5.2,2014
1965,Massa,founder,retail,new,90,male,Germany,DEU,0.0,Europe,Karl-Heinz Kipp,270,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,5.2,2014
1990,Citadel LLC,founder,hedge funds,new,45,male,United States,USA,0.0,North America,Ken Griffin,270,Financial,True,Hedge funds,not inherited,True,True,self-made finance,5.2,2014
1961,Pontiac Land,relation,real estate,new,69,male,Singapore,SGP,0.0,East Asia,Kwee brothers,270,Financial,True,Real Estate,father,True,True,inherited,5.2,2014
1925,Grupo Modelo,relation,beer,new,50,female,Mexico,MEX,0.0,Latin America,Maria Asuncion Aramburuzabala,270,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,5.2,2014
1935,United Overseas Bank,relation,banking,new,85,male,Singapore,SGP,0.0,East Asia,Wee Cho Yaw,270,Financial,True,Money Management,father,True,True,inherited,5.2,2014
1960,Chi Mei Corporation,founder,plastics,new,0,male,Taiwan,Taiwan,0.0,East Asia,Shi Wen-long,271,Traded Sectors,True,Non-consumer industrial,not inherited,True,True,founder non-finance,1.5,1996
1978,Thai Petrochemical Industry,founder,petrochemicals,new,0,male,Thailand,THA,182000000000.0,East Asia,Prachai Leophairatana,272,Traded Sectors,True,Non-consumer industrial,3rd generation,True,True,inherited,1.5,1996
1971,Paychex,founder,payroll processing,new,59,male,United States,USA,10600000000000.0,North America,Blase Golisano,272,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,1.8,2001
1920,Marquette Bank,owner,banking,aquired,85,male,United States,USA,10600000000000.0,North America,Carl Pohlad,272,Financial,True,Money Management,not inherited,True,True,self-made finance,1.8,2001
1905,H-E-B supermarket,relation,groceries,new,62,male,United States,USA,10600000000000.0,North America,Charles Butt,272,Non-Traded Sectors,True,"Retail, Restaurant",3rd generation,True,True,inherited,1.8,2001
1940,Slim-Fast,founder,beverages,new,0,male,United States,USA,10600000000000.0,North America,Daniel Abraham,272,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,1.8,2001
1910,Hallmark Cards,relation,greeting cards,new,72,male,United States,USA,10600000000000.0,North America,Donald Hall,272,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,1.8,2001
1922,Allen & Company,relation,investment banking,new,61,male,United States,USA,10600000000000.0,North America,Herbert Allen,272,Financial,True,Money Management,father,True,True,inherited,1.8,2001
1985,Qualcomm,founder,software,new,67,male,United States,USA,10600000000000.0,North America,Irwin Jacobs,272,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,1.8,2001
1958,Aurrera,founder,supermarkets,new,75,male,Mexico,MEX,725000000000.0,Latin America,Jeronimo Arango,272,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,1.8,2001
1969,The Gap,relation,clothing ,new,39,male,United States,USA,10600000000000.0,North America,John Fisher,272,Traded Sectors,True,Consumer,father,True,True,inherited,1.8,2001
1916,Acciona Trasmediterranea,relation,shipping,new,0,male,Spain,ESP,626000000000.0,Europe,Juan and Carlos March,272,Financial,True,Diversified financial,3rd generation,True,True,inherited,1.8,2001
1960,Banco Bozano Simonsen,founder,banking,new,65,male,Brazil,BRA,560000000000.0,Latin America,Julio Bozano,272,Financial,True,Money Management,not inherited,True,True,self-made finance,1.8,2001
1946,Mabuchi Motor Company,founder,electric motors,new,48,male,Japan,JPN,4160000000000.0,East Asia,Kenichi Mabuchi,272,Traded Sectors,True,Non-consumer industrial,not inherited,True,True,founder non-finance,1.8,2001
1989,ArcelorMittal,founder,steel,new,50,male,United Kingdom,GBR,1530000000000.0,Europe,Lakshmi Mittal,272,Resource Related,True,Energy,father,True,True,inherited,1.8,2001
1973,ILFC,founder,aircraft leasing,new,81,male,United States,USA,10600000000000.0,North America,Leslie Gonda,272,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,1.8,2001
1925,Grupo Modelo,relation,beer,new,37,female,Mexico,MEX,725000000000.0,Latin America,Maria Asuncion Aramburuzabala,272,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,1.8,2001
1869,Campbell Soup,relation,soup,aquired,51,female,United States,USA,10600000000000.0,North America,Mary Alice Dorrance Malone,272,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,1.8,2001
1972,Virgin Group,founder,media,new,50,male,United Kingdom,GBR,1530000000000.0,Europe,Richard Branson,272,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,1.8,2001
1968,Cintas Corporation,founder,uniforms,new,66,male,United States,USA,10600000000000.0,North America,Richard Farmer,272,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,1.8,2001
1986,Yucaipa Companies,founder,private equity,new,48,male,United States,USA,10600000000000.0,North America,Ronald Burkle,272,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,1.8,2001
1991,Interros,founder,private investment company,new,40,male,Russia,RUS,307000000000.0,Europe,Vladimir Potanin,272,Resource Related,True,Mining and metals,not inherited,True,True,privatized and resources,1.8,2001
1979,Boston Scientific,founder,medical devices,new,79,male,United States,USA,8100000000000.0,North America,John Abele,273,New Sectors,True,Technology-Medical,not inherited,True,True,founder non-finance,1.5,1996
1865,Cargill,relation,food processing/commodities,new,71,male,United States,USA,8100000000000.0,North America,James Cargill,274,Financial,True,Money Management,3rd generation,True,True,inherited,1.5,1996
1865,Cargill,relation,food processing/commodities,new,76,female,United States,USA,8100000000000.0,North America,Margaret Cargill,275,Financial,True,Diversified financial,3rd generation,True,True,inherited,1.5,1996
1848,Lazard,relation,banking,new,0,male,France,FRA,1610000000000.0,Europe,Michel David-Weill,276,Financial,True,Money Management,father,True,True,inherited,1.4,1996
1914,Dassault Group,relation,aviation,new,71,male,France,FRA,1610000000000.0,Europe,Serge Dassault,277,0,True,Other,father,True,True,inherited,1.4,1996
1886,Robert Bosch GmbH,relation,auto engines,new,68,male,Germany,DEU,2500000000000.0,Europe,Robert Bosch Jr,278,Traded Sectors,True,Consumer,father,True,True,inherited,1.4,1996
1951,Tetra Pak,relation,food packaging,new,59,male,Sweden,SWE,0.0,Europe,Finn Rausing,278,0,True,Other,3rd generation,True,True,inherited,5.1,2014
1925,Power Corporation of Canada,relation,utilities/financial services,aquired,85,female,Canada,CAN,0.0,North America,Jacqueline Desmarais,278,Financial,True,Money Management,spouse/widow,True,True,inherited,5.1,2014
1951,Tetra Pak,relation,food packaging,new,61,female,Sweden,SWE,0.0,Europe,Kirsten Rausing,278,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,5.1,2014
1974,Keyence,founder,technology,new,50,male,Japan,JPN,4710000000000.0,East Asia,Takemitsu Takizaki,279,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,1.4,1996
1889,Nintendo,relation,video games,new,68,male,Japan,JPN,4710000000000.0,East Asia,Hiroshi Yamauchi,280,New Sectors,True,Technology-Computer,3rd generation,True,True,inherited,1.4,1996
1937,Malaysia Airlines,Chairman and Chief Executive Officer,airplanes,state owned enterprise,0,male,Malaysia,MYS,101000000000.0,East Asia,Tajudin Ramli,281,Non-Traded Sectors,True,Media,not inherited,True,True,privatized and resources,1.4,1996
1980,Reliance,relation,textiles,new,54,male,India,IND,0.0,South Asia,Anil Ambani,281,Financial,True,Diversified financial,not inherited,True,True,inherited,5.0,2014
1998,Mexichem,Honorary President for Life,chemicals,aquired,75,male,Mexico,MEX,0.0,Latin America,Antonio Del Valle Ruiz,281,Traded Sectors,True,Non-consumer industrial,not inherited,True,True,executive,5.0,2014
1960,Discount Tire,founder,retail,new,83,male,United States,USA,0.0,North America,Bruce Halle,281,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,5.0,2014
1970,Hobby Lobby,founder,retail,new,72,male,United States,USA,0.0,North America,David Green,281,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,5.0,2014
1950,Ferring Pharmaceuticals,relation,pharmaceuticals,new,63,male,Sweden,SWE,0.0,Europe,Frederik Paulsen,281,New Sectors,True,Technology-Medical,father,True,True,inherited,5.0,2014
1976,Kohlberg Kravis Roberts,founder,leveraged buyouts,new,70,male,United States,USA,0.0,North America,George Roberts,281,Financial,True,Private equity/leveraged buyout,not inherited,True,True,self-made finance,5.0,2014
1968,Intel ,founder,technology,new,85,male,United States,USA,0.0,North America,Gordon Moore,281,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,5.0,2014
1968,Meriton,founder,real estate,new,81,male,Australia,AUS,0.0,North America,Harry Triguboff,281,Financial,True,Real Estate,not inherited,True,True,self-made finance,5.0,2014
1976,Kohlberg Kravis Roberts,founder,leveraged buyouts,new,70,male,United States,USA,0.0,North America,Henry Kravis,281,Financial,True,Private equity/leveraged buyout,not inherited,True,True,self-made finance,5.0,2014
1975,Tavistock Group,founder,currency trading,new,77,male,United Kingdom,GBR,0.0,Europe,Joe Lewis,281,,True,Diversified financial,not inherited,True,True,self-made finance,5.0,2014
1973,Landmark Group,founder,retail,new,62,male,India,IND,0.0,South Asia,Micky Jagtiani,281,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,5.0,2014
1972,Virgin Group,founder,media,new,63,male,United Kingdom,GBR,0.0,Europe,Richard Branson,281,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,5.0,2014
1977,RIMI,founder,groceries,new,57,male,Norway,NOR,0.0,Europe,Stein Erik Hagen,281,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,5.0,2014
1963,Sun Hung Kai Properties,relation,real estate,new,63,male,Hong Kong,HKG,0.0,East Asia,Walter Kwok,281,Financial,True,Real Estate,father,True,True,inherited,5.0,2014
1981,Pulsar International,founder,agriculture,new,0,male,Mexico,MEX,397000000000.0,Latin America,Alfonso Romo Garza,282,Financial,True,Money Management,not inherited,True,True,self-made finance,1.4,1996
