name,rank,year,company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,wealth.type,wealth.worth in billions,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political,First_Name,Last_Name
John van Vlissingen,137,1996,1975,BCD Holdings,founder,travel company,new,57,male,Netherlands,NLD,443000000000.0,Europe,privatized and resources,2.5,Resource Related,True,Energy,not inherited,True,True,John,vanVlissingen
Joao Roberto Marinho,137,2014,1925,Globo Organizations,relation,media,new,60,male,Brazil,BRA,0.0,Latin America,inherited,9.1,Non-Traded Sectors,True,Media,father,True,True,Joao,RobertoMarinho
Jose Roberto Marinho,137,2014,1925,Globo Organizations,relation,media,new,58,male,Brazil,BRA,0.0,Latin America,inherited,9.1,Non-Traded Sectors,True,Media,father,True,True,Jose,RobertoMarinho
Roberto Marinho,137,2014,1925,Globo Organizations,relation,media,new,66,male,Brazil,BRA,0.0,Latin America,inherited,9.1,Non-Traded Sectors,True,Media,father,True,True,Roberto,Marinho
Roman Abramovich,137,2014,1988,Millhouse LLC,founder,private investment company,new,47,male,Russia,RUS,0.0,Europe,privatized and resources,9.1,Resource Related,True,Non-consumer industrial,not inherited,True,True,Roman,Abramovich
Sheikh Saleh Bin Abdul Aziz Al-rajhi,138,1996,1957,Al Rajhi bank,founder,Banking,new,0,male,Saudi Arabia,SAU,158000000000.0,Middle East/North Africa,self-made finance,2.5,Financial,True,Money Management,not inherited,True,True,Sheikh,SalehBinAbdulAzizAl-rajhi
Charles Koch,138,2001,1940,Koch industries,relation,  Oil refining,new,65,male,United States,USA,10600000000000.0,North America,inherited,3.2,Resource Related,True,Energy,father,True,True,Charles,Koch
David Koch,138,2001,1940,Koch industries,relation, Oil refining,new,60,male,United States,USA,10600000000000.0,North America,inherited,3.2,Resource Related,True,Energy,father,True,True,David,Koch
Donald Fisher,138,2001,1969,The Gap,founder,clothing ,new,72,male,United States,USA,10600000000000.0,North America,founder non-finance,3.2,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Donald,Fisher
Doris Fisher,138,2001,1969,The Gap,founder,clothing ,new,70,female,United States,USA,10600000000000.0,North America,founder non-finance,3.2,Traded Sectors,True,Consumer,not inherited,True,True,Doris,Fisher
Karl-Heinz Kipp,138,2001,1965,Massa,founder,retail,new,77,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,3.2,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Karl-Heinz,Kipp
Philippe Foriel-Destezet,138,2001,1996,Adecco,owner,HR consulting,aquired,65,male,France,FRA,1380000000000.0,Europe,executive,3.2,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Philippe,Foriel-Destezet
Preston Tisch,138,2001,1946,Loews Corporation,founder,retail,new,74,male,United States,USA,10600000000000.0,North America,founder non-finance,3.2,Traded Sectors,True,Consumer,not inherited,True,True,Preston,Tisch
Ronald Lauder,138,2001,1946,Est?Lauder,relation,makeup,new,59,male,United States,USA,10600000000000.0,North America,inherited,3.2,Traded Sectors,True,Consumer,father,True,True,Ronald,Lauder
Mohammed Jameel,139,1996,1945,Abdul Latif Jameel Co. Ltd,relation,auto dealerships,new,0,male,Saudi Arabia,SAU,158000000000.0,Middle East/North Africa,inherited,2.5,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Mohammed,Jameel
Maersk McKinney Moller,140,1996,1905,Maersk Group,relation,shipping,new,82,male,Denmark,DNK,188000000000.0,Europe,inherited,2.5,Financial,True,Diversified financial,father,True,True,Maersk,McKinneyMoller
Nicky Oppenheimer,141,1996,1888,De Beers,relation,diamonds,new ,50,male,South Africa,ZAF,148000000000.0,Sub-Saharan Africa,inherited,2.5,Resource Related,True,Mining and metals,3rd generation,True,True,Nicky,Oppenheimer
Alain Wertheimer,141,2014,1909,Chanel,relation,luxury goods,new,65,male,France,FRA,0.0,Europe,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,Alain,Wertheimer
Charoen Sirivadhanabhakdi,141,2014,1941,ThaiBev,founder,alcohol,privatization,69,male,Thailand,THA,0.0,East Asia,privatized and resources,9.0,Traded Sectors,True,Consumer,not inherited,True,True,Charoen,Sirivadhanabhakdi
Gerard Wertheimer,141,2014,1909,Chanel,relation,luxury goods,new,63,male,France,FRA,0.0,Europe,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,Gerard,Wertheimer
Silvio Berlusconi,141,2014,1978,Fininvest,founder,media,new,77,male,Italy,ITA,0.0,Europe,privatized and resources,9.0,Non-Traded Sectors,True,Media,not inherited,True,True,Silvio,Berlusconi
Vladimir Yevtushenkov,141,2014,1993,Sistema/Sitronics,Chairman/founder,technology,new,65,male,Russia,RUS,0.0,Europe,privatized and resources,9.0,Non-Traded Sectors,True,Media,not inherited,True,True,Vladimir,Yevtushenkov
Ernesto Bertarelli,142,1996,1906,Serono,relation,pharmaceuticals,new,30,male,Switzerland,CHE,330000000000.0,Europe,inherited,2.5,New Sectors,True,Technology-Medical,3rd generation,True,True,Ernesto,Bertarelli
Banyong Lamsam,143,1996,1945,Kasikornbank,relation,banking,new,0,male,Thailand,THA,182000000000.0,East Asia,inherited,2.5,Financial,True,Money Management,not inherited,True,True,Banyong,Lamsam
George Soros,144,1996,1969,Soros Fund Management,founder,hedge funds,new,65,male,United States,USA,8100000000000.0,North America,self-made finance,2.5,Financial,True,Hedge funds,not inherited,True,True,George,Soros
Abigail Johnson,145,1996,1946,Fidelity Investments,relation,investment banking,new,34,female,United States,USA,8100000000000.0,North America,inherited,2.5,Financial,True,Money Management,3rd generation,True,True,Abigail,Johnson
Jon Huntsman,146,1996,1982,Huntsman chemical,founder,chemicals,new,58,male,United States,USA,8100000000000.0,North America,founder non-finance,2.5,Traded Sectors,True,Non-consumer industrial,not inherited,True,True,Jon,Huntsman
Ennio Doris,146,2001,1982,Mediolanum SpA,founder,asset management,new,60,male,Italy,ITA,1160000000000.0,Europe,self-made finance,3.1,Financial,True,Hedge funds,not inherited,True,True,Ennio,Doris
Gianni Agnelli,146,2001,1899,Fiat,relation,cars,new,0,male,Italy,ITA,1160000000000.0,Europe,inherited,3.1,Traded Sectors,True,Consumer,3rd generation,True,True,Gianni,Agnelli
Lester Crown,146,2001,1919,General Dynamics,relation,aerospace and defense,new,75,male,United States,USA,10600000000000.0,North America,inherited,3.1,Financial,True,Money Management,father,True,True,Lester,Crown
Rafik Al-Hariri,146,2001,1978,Saudi Oger,founder,construction,aquired,57,male,Lebanon,LBN,17649751244.0,Middle East/North Africa,privatized and resources,3.1,Non-Traded Sectors,True,Constrution,not inherited,True,True,Rafik,Al-Hariri
William Wrigley,146,2001,1891,Wm Wrigley Jr. Company,relation,gum,new,37,male,United States,USA,10600000000000.0,North America,inherited,3.1,Traded Sectors,True,Consumer,4th generation,True,True,William,Wrigley
Carlos Alberto Sicupira,146,2014,1999,Ambev,founder,investment banking/beer,aquired,66,male,Brazil,BRA,0.0,Latin America,founder non-finance,8.9,Traded Sectors,True,Consumer,not inherited,True,True,Carlos,AlbertoSicupira
Hisakazu Yamaguchi,147,1996,1950,Daiwan Can,relation,cans,new,0,male,Japan,JPN,4710000000000.0,East Asia,inherited,2.4,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Hisakazu,Yamaguchi
Alexei Kuzmichev,147,2014,1989,Alfa Group,founder,investment banking,new,51,male,Russia,RUS,0.0,Europe,privatized and resources,8.8,Resource Related,True,Energy,not inherited,True,True,Alexei,Kuzmichev
Dmitry Rybolovlev,147,2014,1930,Uralkali,owner,fertilizer,aquired,47,male,Russia,RUS,0.0,Europe,executive,8.8,Traded Sectors,True,Consumer,not inherited,True,True,Dmitry,Rybolovlev
Elaine Marshall,147,2014,1940,Koch industries,relation,  Oil refining,new,71,female,United States,USA,0.0,North America,inherited,8.8,Financial,True,Diversified financial,spouse/widow,True,True,Elaine,Marshall
Hasso Plattner,147,2014,1972,SAP AG,founder,software,new,70,male,Germany,DEU,0.0,Europe,founder non-finance,8.8,New Sectors,True,Technology-Computer,not inherited,True,True,Hasso,Plattner
Thomas Peterffy,147,2014,1977,Interactive Brokers,"founder, chairman, ceo",stock brokerage,new,69,male,United States,USA,0.0,North America,self-made finance,8.8,Financial,True,Money Management,not inherited,True,True,Thomas,Peterffy
Kanichiro Ishibashi,148,1996,1931,Bridgestone Corp,relation,tires,new,0,male,Japan,JPN,4710000000000.0,East Asia,inherited,2.4,Resource Related,True,Mining and metals,father,True,True,Kanichiro,Ishibashi
Andrew Gotianun,149,1996,1955,Filinvest Development Corporation,founder,real estate,new,0,male,Philippines,PHL,82848194406.0,East Asia,self-made finance,2.4,Financial,True,Real Estate,not inherited,True,True,Andrew,Gotianun
Anacleto Angelini,150,1996,1955,Angelini Group,founder,mining,new,82,male,Chile,CHL,75800000000.0,Latin America,privatized and resources,2.3,Resource Related,True,Energy,not inherited,True,True,Anacleto,Angelini
Dieter Schwarz,151,1996,1930,Schwarz Group,relation,groceries,new,0,male,Germany,DEU,2500000000000.0,Europe,inherited,2.3,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Dieter,Schwarz
A Jerrold Perenchio,151,2001,1955,Univision,former chairman and CEO,media,aquired,70,male,United States,USA,10600000000000.0,North America,executive,3.0,Non-Traded Sectors,True,Media,not inherited,True,True,A,JerroldPerenchio
Emilio Azcarraga Jean,151,2001,1955,Grupo Televisa,relation,media,new,33,male,Mexico,MEX,725000000000.0,Latin America,inherited,3.0,Non-Traded Sectors,True,Media,father,True,True,Emilio,AzcarragaJean
George Lucas,151,2001,1971,Lucasfilm,founder,Star Wars,new,56,male,United States,USA,10600000000000.0,North America,founder non-finance,3.0,Non-Traded Sectors,True,Media,not inherited,True,True,George,Lucas
Henry Hillman,151,2001,1942,Pittsburgh Coke & Chemical,relation,coal,new,82,male,United States,USA,10600000000000.0,North America,inherited,3.0,Financial,True,Money Management,father,True,True,Henry,Hillman
Khoo Teck Puat,151,2001,1960,Malayan Banking,founder,banking,new,84,male,Singapore,SGP,89285087395.0,East Asia,self-made finance,3.0,Financial,True,Real Estate,not inherited,True,True,Khoo,TeckPuat
Mohammed Jameel,151,2001,1945,Abdul Latif Jameel Co. Ltd,relation,auto dealerships,new,0,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,inherited,3.0,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Mohammed,Jameel
Ricardo Salinas Pliego,151,2001,1906,Grupo Salinas/Group Elektra,relation,telecommunications,new,45,male,Mexico,MEX,725000000000.0,Latin America,inherited,3.0,Non-Traded Sectors,True,"Retail, Restaurant",4th generation,True,True,Ricardo,SalinasPliego
Riley Bechtel,151,2001,1898,Bechtel Corporation,relation and chairman,construction,new,48,male,United States,USA,10600000000000.0,North America,inherited,3.0,Non-Traded Sectors,True,Constrution,4th generation,True,True,Riley,Bechtel
Robert Bass,151,2001,1919,Sid Richardson Gasoline Co,relation,oil,new,53,male,United States,USA,10600000000000.0,North America,inherited,3.0,Resource Related,True,Energy,father,True,True,Robert,Bass
Saleh Kamel,151,2001,1969,Dallah al Baraka Group,founder,airport maintenance,new,59,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,self-made finance,3.0,Financial,True,Money Management,not inherited,True,True,Saleh,Kamel
Stephen Bechtel,151,2001,1898,Bechtel Corporation,relation,construction,new,75,male,United States,USA,10600000000000.0,North America,inherited,3.0,Non-Traded Sectors,True,Constrution,4th generation,True,True,Stephen,Bechtel
Ciputra,152,1996,1961,Ciputra Development,founder,real estate,new,0,male,Indonesia,IDN,227000000000.0,East Asia,self-made finance,2.3,Financial,True,Real Estate,not inherited,True,True,Ciputra,
Ludwig Merckle,152,2014,1881,Ratiopharm,relation,pharmaceuticals,new,49,male,Germany,DEU,0.0,Europe,inherited,8.6,New Sectors,True,Technology-Medical,4th generation,True,True,Ludwig,Merckle
Leonardo Del Vecchio,153,1996,1961,?Luxottica,founder,glasses,new,60,male,Italy,ITA,1310000000000.0,Europe,founder non-finance,2.3,Traded Sectors,True,Consumer,not inherited,True,True,Leonardo,DelVecchio
Antonia Johnson,153,2014,1873,Axel Johnson Group,relation,trade investment,new,70,female,Sweden,SWE,0.0,Europe,inherited,8.5,Financial,True,Diversified financial,4th generation,True,True,Antonia,Johnson
Donald Newhouse,153,2014,1909,Advance Publications,relation,media,new,84,male,United States,USA,0.0,North America,inherited,8.5,Non-Traded Sectors,True,Media,father,True,True,Donald,Newhouse
Galen Weston,153,2014,1882,George Weston Limited,relation,food distribution,new,73,male,Canada,CAN,0.0,North America,inherited,8.5,Non-Traded Sectors,True,"Retail, Restaurant",3rd generation,True,True,Galen,Weston
Hank & Doug Meijer,153,2014,1934,Meijer,relation,groceries,new,0,male,United States,USA,0.0,North America,inherited,8.5,Non-Traded Sectors,True,"Retail, Restaurant",3rd generation,True,True,Hank,&DougMeijer
Michael Kadoorie,153,2014,1901,CLP Holdings,relation,utilities,new,72,male,Hong Kong,HKG,0.0,East Asia,inherited,8.5,Financial,True,Diversified financial,father,True,True,Michael,Kadoorie
Michele Ferrero,154,1996,1946,Ferrero spa,relation,chocolates,new,69,male,Italy,ITA,1310000000000.0,Europe,executive,2.3,Traded Sectors,True,Consumer,not inherited,True,True,Michele,Ferrero
Eitaro Itoyama,155,1996,0,,,golf courses,,53,male,Japan,JPN,4710000000000.0,East Asia,self-made finance,2.3,Financial,True,Real Estate,not inherited,True,True,Eitaro,Itoyama
Akio Morita,156,1996,1946,Sony,founder,technology,new,0,male,Japan,JPN,4710000000000.0,East Asia,founder non-finance,2.3,Traded Sectors,True,Consumer,not inherited,True,True,Akio,Morita
Kim Woo-choong,157,1996,1967,Daewoo Group,founder,textiles,new,0,male,South Korea,KOR,603000000000.0,East Asia,privatized and resources,2.3,Financial,True,Diversified financial,not inherited,True,True,Kim,Woo-choong
Kjeld Kirk Kristiansen,158,1996,1949,Lego,relation,toys,new,48,male,Denmark,DNK,188000000000.0,Europe,inherited,2.3,Traded Sectors,True,Consumer,3rd generation,True,True,Kjeld,KirkKristiansen
Elon Musk,158,2014,1999,"Paypal, SpaceX, Tesla Motors",investor/founder,technology,new,42,male,United States,USA,0.0,North America,founder non-finance,8.4,Traded Sectors,True,Consumer,not inherited,True,True,Elon,Musk
Joseph Lau,158,2014,1978,Chinese Estates Holdings,founder,real estate,new,62,male,Hong Kong,HKG,0.0,East Asia,self-made finance,8.4,Financial,True,Real Estate,not inherited,True,True,Joseph,Lau
Stephan Schmidheiny,159,1996,1912,Holcim,relation,construction,new,48,male,Switzerland,CHE,330000000000.0,Europe,inherited,2.3,Financial,True,Money Management,4th generation,True,True,Stephan,Schmidheiny
Robert Bass,160,1996,1919,Sid Richardson Gasoline Co,relation,oil,new,48,male,United States,USA,8100000000000.0,North America,inherited,2.3,Resource Related,True,Energy,father,True,True,Robert,Bass
August von Finck,160,2014,1890,"Allianz, Merk Finck & Co",relation,banking/insurance,new,83,male,Germany,DEU,0.0,Europe,inherited,8.3,Financial,True,Diversified financial,father,True,True,August,vonFinck
Ricardo Salinas Pliego,160,2014,1906,Grupo Salinas/Group Elektra,relation,telecommunications,new,58,male,Mexico,MEX,0.0,Latin America,inherited,8.3,Non-Traded Sectors,True,"Retail, Restaurant",4th generation,True,True,Ricardo,SalinasPliego
Andronico Luksic,161,1996,1888,Antofagasta,founder,copper,aquired,69,male,Chile,CHL,75800000000.0,Latin America,privatized and resources,2.2,Resource Related,True,Mining and metals,not inherited,True,True,Andronico,Luksic
Adrian and John Swire,162,1996,1816,Swire,relation,trading company,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,2.2,Financial,True,Money Management,4th generation,True,True,Adrian,andJohnSwire
Dietmar Hopp,162,2001,1972,SAP AG,founder,software,new,60,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,2.9,New Sectors,True,Technology-Computer,not inherited,True,True,Dietmar,Hopp
Hiroshi Yamauchi,162,2001,1889,Nintendo,relation,video games,new,73,male,Japan,JPN,4160000000000.0,East Asia,inherited,2.9,New Sectors,True,Technology-Computer,3rd generation,True,True,Hiroshi,Yamauchi
Joseph and Moise Safra,162,2001,1955,Banco Safra (now Saftra Group),founder,banking,new,0,male,Brazil,BRA,560000000000.0,Latin America,self-made finance,2.9,Financial,True,Money Management,not inherited,True,True,Joseph,andMoiseSafra
Leslie Wexner,162,2001,1963,Limited Brands,founder,clothing,new,59,male,United States,USA,10600000000000.0,North America,founder non-finance,2.9,Traded Sectors,True,Consumer,not inherited,True,True,Leslie,Wexner
Lorenzo Zambrano,162,2001,1906,Cemex,relation,cement,new,56,male,Mexico,MEX,725000000000.0,Latin America,inherited,2.9,Non-Traded Sectors,True,Constrution,3rd generation,True,True,Lorenzo,Zambrano
Andrei Skoch,162,2014,1999,Metallionvest,partner,mining,new,48,male,Russia,RUS,0.0,Europe,privatized and resources,8.2,Resource Related,True,Non-consumer industrial,not inherited,True,True,Andrei,Skoch
Pierre Omidyar,162,2014,1995,Ebay,founder and chairman,e-commerce,new,46,male,United States,USA,0.0,North America,founder non-finance,8.2,New Sectors,True,Technology-Computer,not inherited,True,True,Pierre,Omidyar
Xavier Niel,162,2014,1999,Iliad,founder,internet service provider,new,46,male,France,FRA,0.0,Europe,founder non-finance,8.2,New Sectors,True,Technology-Computer,not inherited,True,True,Xavier,Niel
Prajogo Pangestu,163,1996,1977,Barito Pacific,founder,petrochemicals,new,0,male,Indonesia,IDN,227000000000.0,East Asia,privatized and resources,2.2,Resource Related,True,Mining and metals,not inherited,True,True,Prajogo,Pangestu
Akihiko Otsuka,164,1996,1921,Otsuka Holdings,relation,pharmaceuticals,new,0,male,Japan,JPN,4710000000000.0,East Asia,inherited,2.2,New Sectors,True,Technology-Medical,father,True,True,Akihiko,Otsuka
Kazuo Matsuda,165,1996,1963,Nichiei,founder,small-company lending,new,0,male,Japan,JPN,4710000000000.0,East Asia,self-made finance,2.2,Financial,True,Money Management,not inherited,True,True,Kazuo,Matsuda
Margarita Louis-Dreyfus,165,2014,1851,Louis-Dreyfus Goup,relation,"commodities (wheat, oil, shipping)",new,50,female,Switzerland,CHE,0.0,Europe,inherited,8.1,Resource Related,True,Mining and metals,spouse/widow,True,True,Margarita,Louis-Dreyfus
Lucio Tan,166,1996,1982,Asia Brewery,founder,beverages,new,61,male,Philippines,PHL,82848194406.0,East Asia,self-made finance,2.2,Financial,True,Money Management,not inherited,True,True,Lucio,Tan
Pierre Castel,166,2014,1949,Goupe Castel,founder,beverages,new,87,male,France,FRA,0.0,Europe,founder non-finance,8.0,Traded Sectors,True,Consumer,not inherited,True,True,Pierre,Castel
Philip Anschutz,167,1996,1961,Circle A Drilling,investor,"oil, railroad, investments",aquired,56,male,United States,USA,8100000000000.0,North America,self-made finance,2.2,Financial,True,Money Management,not inherited,True,True,Philip,Anschutz
Aloysio de Andrade Faria,167,2001,1925,Banco Real,relation,banking,new,80,male,Brazil,BRA,560000000000.0,Latin America,inherited,2.8,Financial,True,Money Management,father,True,True,Aloysio,deAndradeFaria
Charles Dolan,167,2001,1972,Cablevision and HBO,founder,media,new,74,male,United States,USA,10600000000000.0,North America,founder non-finance,2.8,Non-Traded Sectors,True,Media,not inherited,True,True,Charles,Dolan
Jack Taylor,167,2001,1957,Enterprise,founder,rental cars,new,0,male,United States,USA,10600000000000.0,North America,founder non-finance,2.8,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Jack,Taylor
John Sall,167,2001,1976,SAS institute,founder,software,new,54,male,United States,USA,10600000000000.0,North America,founder non-finance,2.8,New Sectors,True,Technology-Computer,not inherited,True,True,John,Sall
Klaus Jacobs,167,2001,1895,Jacobs Suchard AG,relation,chocolate and coffee,new,0,male,Switzerland,CHE,279000000000.0,Europe,inherited,2.8,Traded Sectors,True,Consumer,3rd generation,True,True,Klaus,Jacobs
Steven Udvar-Hazy,167,2001,1973,International Lease Finance Corporation,founder,aircraft leasing,new,55,male,United States,USA,10600000000000.0,North America,founder non-finance,2.8,0,True,Other,not inherited,True,True,Steven,Udvar-Hazy
Yoshiaki Tsutsumi,167,2001,1894,Seibu Corporation,relation,real estate,aquired,66,male,Japan,JPN,4160000000000.0,East Asia,inherited,2.8,Financial,True,Real Estate,father,True,True,Yoshiaki,Tsutsumi
Emmanuel Besnier,167,2014,1933,Lactalis,relation,cheese,new,43,male,France,FRA,0.0,Europe,inherited,7.9,Traded Sectors,True,Consumer,father,True,True,Emmanuel,Besnier
Marvin Davis,168,1996,1945,Davis Petroleum,relation,oil,new,70,male,United States,USA,8100000000000.0,North America,inherited,2.2,Resource Related,True,Energy,father,True,True,Marvin,Davis
Blair Parry-Okeden,168,2014,1898,Cox Enterprises,relation,media,aquired,63,female,United States,USA,0.0,North America,inherited,7.7,Non-Traded Sectors,True,Media,3rd generation,True,True,Blair,Parry-Okeden
David Duffield,168,2014,1987,PeopleSoft,founder,software,new,73,male,United States,USA,0.0,North America,founder non-finance,7.7,New Sectors,True,Technology-Computer,not inherited,True,True,David,Duffield
Jean-Claude Decaux,168,2014,1964,JCDecaux,founder,advertising,new,76,male,France,FRA,0.0,Europe,founder non-finance,7.7,Non-Traded Sectors,True,Media,not inherited,True,True,Jean-Claude,Decaux
Jim Kennedy,168,2014,1898,Cox Enterprises,relation,media,aquired,66,male,United States,USA,0.0,North America,inherited,7.7,Non-Traded Sectors,True,Media,3rd generation,True,True,Jim,Kennedy
Reinhold Wuerth,168,2014,1945,Adolf Wurth Group,relation,screws,new,78,male,Germany,DEU,0.0,Europe,executive,7.7,Traded Sectors,True,Non-consumer industrial,not inherited,True,True,Reinhold,Wuerth
Lee Bass,169,1996,1919,Sid Richardson Gasoline Co,relation,oil,new,39,male,United States,USA,8100000000000.0,North America,inherited,2.2,Resource Related,True,Energy,father,True,True,Lee,Bass
Roberto Marinho,170,1996,1925,Globo Organizations,relation,media,new,0,male,Brazil,BRA,854000000000.0,Latin America,inherited,2.1,Non-Traded Sectors,True,Media,father,True,True,Roberto,Marinho
Philippe Bouriez,171,1996,1975,Cora,founder,retail,new,0,male,France,FRA,1610000000000.0,Europe,founder non-finance,2.1,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Philippe,Bouriez
Stefan Schoerghuber,172,1996,1954,Schorghuber Group,relation,real estate,new,34,male,Germany,DEU,2500000000000.0,Europe,inherited,2.1,Financial,True,Real Estate,father,True,True,Stefan,Schoerghuber
Anneliese Brost,173,1996,1948,Westdeutsche Allgemeine Zeitung,founder,media,new,75,female,Germany,DEU,2500000000000.0,Europe,founder non-finance,2.1,Non-Traded Sectors,True,Media,not inherited,True,True,Anneliese,Brost
Jacques Servier,173,2014,1954,Laboratories Servier,founder,pharmaceuticals,new,92,male,France,FRA,0.0,Europe,founder non-finance,7.6,New Sectors,True,Technology-Medical,not inherited,True,True,Jacques,Servier
Johann Rupert,173,2014,1940,Rembrandt Group,relation,tobacco/luxury brands,new,63,male,South Africa,ZAF,0.0,Sub-Saharan Africa,inherited,7.6,Traded Sectors,True,Consumer,father,True,True,Johann,Rupert
R Budi Hartono,173,2014,1951,Djarum,relation,tobacco,new,73,male,Indonesia,IDN,0.0,East Asia,self-made finance,7.6,Financial,True,Money Management,not inherited,True,True,R,BudiHartono
Tsai Wan-Tsai,173,2014,1961,Fubon Financial holding Company,founder,banking,new,84,male,Taiwan,Taiwan,0.0,East Asia,self-made finance,7.6,Financial,True,Money Management,not inherited,True,True,Tsai,Wan-Tsai
Funke family,174,1996,0,,,,,0,,Germany,DEU,2500000000000.0,Europe,,2.1,Non-Traded Sectors,True,Media,not inherited,True,True,Funke,family
Bruno Schroder,174,2001,1800,Schroders,relation,banking,new,68,male,United Kingdom,GBR,1530000000000.0,Europe,inherited,2.7,Financial,True,Money Management,4th generation,True,True,Bruno,Schroder
Cheng Yu-tung,174,2001,1929,Chow Tai Fook Enterprises,relation,real estate,new,75,male,Hong Kong,HKG,169000000000.0,East Asia,inherited,2.7,Financial,True,Real Estate,father,True,True,Cheng,Yu-tung
Jeffrey Skoll,174,2001,1995,Ebay,president,e-commerce,new,36,male,Canada,CAN,733000000000.0,North America,executive,2.7,New Sectors,True,Technology-Computer,not inherited,True,True,Jeffrey,Skoll
Samuel LeFrak,174,2001,1905,LeFrack ,relation,real estate,new,0,male,United States,USA,10600000000000.0,North America,inherited,2.7,Financial,True,Real Estate,3rd generation,True,True,Samuel,LeFrak
Wang Yue-che,174,2001,1954,Formosa Plastics,founder,petrochemicals,new,84,male,Taiwan,Taiwan,0.0,East Asia,founder non-finance,2.7,Traded Sectors,True,Consumer,not inherited,True,True,Wang,Yue-che
Kumar Birla,175,1996,1857,Aditya Birla Group,relation,cement,new,28,male,India,IND,400000000000.0,South Asia,inherited,2.1,Resource Related,True,Mining and metals,4th generation,True,True,Kumar,Birla
Masahiro Ohga,176,1996,0,,,,,0,male,Japan,JPN,4710000000000.0,East Asia,,2.1,Non-Traded Sectors,True,Media,not inherited,True,True,Masahiro,Ohga
Ryoichi Jinnai,177,1996,1962,Promise Consumer Finance,founder,finance,new,69,male,Japan,JPN,4710000000000.0,East Asia,self-made finance,2.1,Financial,True,Money Management,not inherited,True,True,Ryoichi,Jinnai
Charles Johnson,177,2014,1947,Franklin Resources,relation,mutal funds,new,81,male,United States,USA,0.0,North America,inherited,7.5,Financial,True,Money Management,father,True,True,Charles,Johnson
James Goodnight,177,2014,1976,SAS institute,founder,software,new,71,male,United States,USA,0.0,North America,founder non-finance,7.5,New Sectors,True,Technology-Computer,not inherited,True,True,James,Goodnight
John Malone,177,2014,1968,Tele-Communications Inc,CEO,telecommunications,merger,72,male,United States,USA,0.0,North America,executive,7.5,Non-Traded Sectors,True,Media,not inherited,True,True,John,Malone
"John Menard, Jr.",177,2014,1972,Menards,founder,hardware stores,new,74,male,United States,USA,0.0,North America,founder non-finance,7.5,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,John,"Menard,Jr."
Klaus Tschira,177,2014,1972,SAP AG,founder,software,new,73,male,Germany,DEU,0.0,Europe,founder non-finance,7.5,New Sectors,True,Technology-Computer,not inherited,True,True,Klaus,Tschira
Leonard Lauder,177,2014,1946,Est?Lauder,relation,makeup,new,80,male,United States,USA,0.0,North America,inherited,7.5,Traded Sectors,True,Consumer,father,True,True,Leonard,Lauder
Lee Seng Wee,178,1996,1919,Oversea-Chinese Banking Corporation,chairman,banking,new,71,male,Singapore,SGP,96400967339.0,East Asia,inherited,2.1,Financial,True,Money Management,father,True,True,Lee,SengWee
Jeffrey Koo Sr,179,1996,1930,Koos Group,relation,,new,0,male,Taiwan,Taiwan,0.0,East Asia,inherited,2.1,Financial,True,Money Management,3rd generation,True,True,Jeffrey,KooSr
Den Fujita,179,2001,1971,McDonald's Japan,founder,restaurants,franchise,75,male,Japan,JPN,4160000000000.0,East Asia,founder non-finance,2.6,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Den,Fujita
Klaus Tschira,179,2001,1972,SAP AG,founder,software,new,60,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,2.6,New Sectors,True,Technology-Computer,not inherited,True,True,Klaus,Tschira
Thomas Schmidheiny,179,2001,1912,Holcim,relation,cement,new,55,male,Switzerland,CHE,279000000000.0,Europe,inherited,2.6,Non-Traded Sectors,True,Constrution,4th generation,True,True,Thomas,Schmidheiny
Thaksin Shinawatra,180,1996,1986,Advanced Info Service,founder,mobile phones,new,0,male,Thailand,THA,182000000000.0,East Asia,privatized and resources,2.1,Financial,True,Real Estate,not inherited,True,True,Thaksin,Shinawatra
Leonard Lauder,181,1996,1946,Est?Lauder,relation,makeup,new,62,male,United States,USA,8100000000000.0,North America,inherited,2.1,Traded Sectors,True,Consumer,father,True,True,Leonard,Lauder
